season,opponent,result,efg,pm,pa,pmp,tpm,tpa,tmp,tmpa,fpa,fpt,tft
2013-14,Georgia Tech,W,48.4,23,50,46,5,13,38.5,20.60%,17,23,73.9
2013-14,Clemson,W,62.5,23,38,60.5,8,18,44.4,32.10%,10,19,52.6
2013-14,UVA,L,44.4,22,48,45.8,4,15,26.7,23.80%,5,12,41.7
2013-14,Boston College,W,56.4,25,43,58.1,4,12,33.3,21.80%,20,30,66.7
2013-14,Syracuse,L,41.2,18,39,46.2,2,12,16.7,23.50%,3,9,33.3
2013-14,Miami,L,34.6,15,44,34.1,5,21,23.8,32.30%,12,20,60
2013-14,Wake Forest,L,40,27,60,45,2,15,13.3,20.00%,7,11,63.6
2013-14,UNC-Wilmington,W,54.6,31,56,55.4,3,9,33.3,13.80%,13,17,76.5
2013-14,NKU,W,52.9,18,37,48.6,6,14,42.9,27.50%,21,31,67.7
2013-14,Davidson ,W,50.8,27,56,48.2,3,6,50,9.70%,24,47,51.1
2013-14,Texas,L,45.4,16,46,34.8,9,19,47.4,29.20%,24,47,51.1
2013-14,Kentucky,W,50,25,49,51,2,7,28.6,12.50%,26,45,57.8
2013-14,UNC-G,W,49.2,31,60,51.7,1,6,16.7,9.10%,16,26,61.5
2013-14,Michigan State,W,46.1,27,54,50,2,11,18.2,16.90%,19,27,70.4
2013-14,UAB,L,43.6,26,51,51,1,12,8.3,19.00%,4,11,36.4
2013-14,Louisville,W,56.8,29,53,54.7,3,6,50,10.20%,26,38,68.4
2013-14,Richmond,W,51.9,19,41,46.3,6,12,50,22.60%,26,36,72.2
2013-14,Belmont,L,50,26,51,51,2,7,28.6,12.10%,22,48,45.8
2013-14,Holy Cross,W,40.8,20,50,40,3,10,30,16.70%,13,18,72.2
2013-14,Oakland,W,64.5,28,42,66.7,5,13,38.5,23.60%,13,20,65
2012-13,Kansas,L,34.2,16,52,30.8,6,21,28.6,28.80%,8,10,80
2012-13,Villanova,W,60.2,13,28,46.4,11,21,52.4,42.90%,19,27,70.4
2012-13,Miami,L,55.8,14,31,45.2,13,29,44.8,48.30%,10,11,90.9
2012-13,Maryland,W,50,20,40,50,7,21,33.3,34.40%,18,26,69.2
2012-13,Florida State,W,57.1,21,41,51.2,10,22,45.5,34.90%,11,12,91.7
2012-13,Duke,L,34.7,20,48,41.7,1,14,7.1,22.60%,10,13,76.9
2012-13,Maryland,W,54.5,15,31,48.4,10,24,41.7,43.60%,19,24,79.2
2012-13,Florida State,W,63.4,22,41,53.7,9,15,60,26.80%,8,10,80
2012-13,Clemson,W,54.5,18,33,54.5,8,22,36.4,40.00%,8,15,53.3
2012-13,NC State,W,50.8,19,43,44.2,9,21,42.9,32.80%,11,16,68.8
2012-13,Georgia Tech,W,42.4,19,46,41.3,6,20,30,30.30%,14,17,82.4
2012-13,UVA,W,60.2,16,31,51.6,13,28,46.4,47.50%,22,30,73.3
2012-13,Duke,L,41.7,20,48,41.7,5,18,27.8,27.30%,13,23,56.5
2012-13,Miami,L,43.1,19,45,42.2,6,20,30,30.80%,5,6,83.3
2012-13,Wake Forest,W,58.9,23,47,48.9,9,15,60,24.20%,14,25,56
2012-13,Virginia Tech,W,41.4,19,40,47.5,5,24,20.8,37.50%,19,27,70.4
2012-13,Boston College,W,54,23,49,46.9,7,13,53.8,21.00%,15,20,75
2012-13,NC State,L,52.1,25,49,51,8,22,36.4,31.00%,9,10,90
2012-13,Georgia Tech,W,47.1,24,53,45.3,6,17,35.3,24.30%,13,22,59.1
2012-13,Maryland,W,39.2,18,48,37.5,5,17,29.4,26.20%,11,18,61.1
2012-13,Florida State,W,55,21,40,52.5,8,20,40,33.30%,11,16,68.8
2012-13,Miami,L,45,18,45,40,6,15,40,25.00%,5,8,62.5
2012-13,UVA,L,42.2,14,34,41.2,5,17,29.4,33.30%,9,17,52.9
2012-13,UNLV,W,53.6,25,45,55.6,3,10,30,18.20%,20,33,60.6
2012-13,McNeese State,W,56.1,22,46,47.8,13,28,46.4,37.80%,14,22,63.6
2012-13,Texas,L,33.6,18,48,37.5,3,19,15.8,28.40%,22,32,68.8
2012-13,East Carolina,W,55.2,28,53,52.8,6,14,42.9,20.90%,19,24,79.2
2012-13,East Tenn. St.,W,50,20,42,47.6,11,31,35.5,42.50%,5,7,71.4
2012-13,UAB,W,60,27,47,57.4,10,23,43.5,32.90%,18,21,85.7
2012-13,Indiana,L,38.4,25,61,41,1,8,12.5,11.60%,6,14,42.9
2012-13,Chaminade,W,71.7,30,42,71.4,13,27,48.1,39.10%,13,21,61.9
2012-13,Butler,L,48.4,20,41,48.8,7,22,31.8,34.90%,10,12,83.3
2012-13,Mississippi State,W,57,22,46,47.8,15,32,46.9,41.00%,6,9,66.7
2012-13,Long Beach State,W,46.7,20,49,40.8,10,26,38.5,34.70%,8,11,72.7
2012-13,Florida Atlantic,W,47.9,25,56,44.6,6,15,40,21.10%,12,27,44.4
2012-13,Gardner Webb,W,47.2,32,59,54.2,1,12,8.3,16.90%,9,19,47.4
2011-12,Kansas,L,45.3,26,47,55.3,2,17,11.8,26.60%,9,12,75
2011-12,Ohio,W,45.4,19,43,44.2,7,22,31.8,33.80%,14,24,58.3
2011-12,Creighton,W,56.9,25,49,51,8,16,50,24.60%,13,19,68.4
2011-12,Vermont,W,45.4,22,47,46.8,5,18,27.8,27.70%,18,24,75
2011-12,Florida State,L,43,23,51,45.1,5,20,25,28.20%,21,24,87.5
2011-12,NC State,W,49.1,19,34,55.9,5,20,25,37.00%,16,22,72.7
2011-12,Maryland,W,56.6,24,46,52.2,7,15,46.7,24.60%,16,26,61.5
2011-12,Duke,W,57.6,32,53,60.4,4,13,30.8,19.70%,12,15,80
2011-12,Maryland,W,43,23,52,44.2,5,19,26.3,26.80%,27,33,81.8
2011-12,UVA,W,35.3,15,37,40.5,2,14,14.3,27.50%,18,23,78.3
2011-12,NC State,W,59.6,19,38,50,10,19,52.6,33.30%,18,24,75
2011-12,Clemson,W,54,25,49,51,6,14,42.9,22.20%,6,8,75
2011-12,Miami,W,41.9,21,50,42,5,18,27.8,26.50%,16,23,69.6
2011-12,UVA,W,36,23,58,39.7,1,10,10,14.70%,21,27,77.8
2011-12,Duke,L,50,30,57,52.6,1,6,16.7,9.50%,21,30,70
2011-12,Maryland,W,47.1,27,61,44.3,4,9,44.4,12.90%,17,26,65.4
2011-12,Wake Forest,W,33.8,18,52,34.6,4,19,21.1,26.80%,20,26,76.9
